energy_percentile,message_len_bytes,encrypt,bits_used_total,samples_total,samples_changed,fraction_changed,snr_db,max_abs_diff_lsb,extraction_ok,payload_bit_ber,frac_mod_in_top_energy_frames
0.0,16,False,192,262094,101,0.0003853579250192679,101.01507355392366,1,True,0.0,0.4158415841584158
0.0,256,False,2112,262094,1038,0.00396041115019802,91.23662749780024,1,True,0.0,0.4277456647398844
0.0,2048,False,16448,262094,8120,0.030981251001549064,82.33644926621503,1,True,0.0,0.45960591133004924
20.0,16,False,192,262094,91,0.0003472036750173602,101.42820845422878,1,True,0.0,0.43956043956043955
20.0,256,False,2112,262094,1042,0.003975672850198783,91.2200703264355,1,True,0.0,0.45297504798464494
20.0,2048,False,16448,262094,8195,0.03126740787656337,82.29656496632967,1,True,0.0,0.45710799267846247
40.0,16,False,192,262094,95,0.0003624653750181233,101.25821009992609,1,True,0.0,0.43157894736842106
40.0,256,False,2112,262094,1144,0.0043648462002182425,90.81787786723412,1,True,0.0,0.48164335664335667
40.0,2048,False,16448,262094,8264,0.031530672201576536,82.26019212732503,1,True,0.0,0.47325750242013553
20.0,256,True,2368,262094,1173,0.004475493525223775,90.71001474421726,1,True,0.0,0.4560954816709292
